names,prices
"Syinix 43A51 43"" Inch A51 Series FRAMELESS FULL HD  SMART ANDROID TV,YOUTUBE NETFLIX","KSh 31,850"
"Vitron HD 24” Inches,LED Digital TV,USB,HDMI PORT+32GB FLASH DISK","KSh 11,499"
"Hisense 43'' 4K ULTRA HD SMART TV, BLUETOOTH, 4K HDR, NETFLIX 43A6G","KSh 46,000"
"Vitron HTC3268S,32 Inch Smart Android TV","KSh 15,328"
"Glaze 4330FS,43 Inch Full HD Smart Android TV WIFI Netflix, Youtube Television","KSh 24,949"
"Hisense 55” 4K UHD 2022 LATEST MODEL,4K HDR","KSh 57,999"
"Star X 22” Inches,HD LED Digital TV,USB-HDMI PORTS+INBUILT DECODER","KSh 7,995"
"Vision Plus VP8843SF 43"" Frameless FHD Smart Bluetooth LED TV +4 FREE GIFTS","KSh 31,699"
"Sonar 32T88S 32"" Inch SmartAndroid TV Netflix Youtube+FREE TVGuard+Aerial+32GBFlash","KSh 15,599"
"Vitron HD 24” Inches,LED Digital TV-USB-HDMI PORT+32GB FLASH DISK","KSh 11,499"
Mxq Pro Tv Box 2GB+16GB 4K TV Box / Android Box / Android TV Box/ Smart Box,"KSh 4,000"
"TCL 43'' FRAMELESS FULL HD ANDROID TV, NETFLIX, YOUTUBE 43S65A","KSh 35,800"
"Star X HD 22 Inches,LED Digital TV,USB PORT,32GB FLASH DISK,HDMI","KSh 7,999"
"Samsung UA32T5300AU,32"" Inch Smart HD TV Series 5 Inbuilt WIFI +FREE GIFTS","KSh 26,989"
"Vitron 43"" Inch SMART Android TV FULL HD-Netfix+Youtube+Free Gifts","KSh 26,990"
"Wyinix 40"" Inch Smart Android TV WIFI Netflix, Youtube+FREE TV G","KSh 20,399"
"Vitron 43"" Smart Android HD TV+FREE 6 GIFTS","KSh 29,499"
"Vitron HTC3268S,32 Inch Smart Android TV-Youtube,Netflix+Free Aerial & Bracket","KSh 16,599"
"Vitron HTC3268S,32 Inch Smart Android TV,Netflix,Youtube,Playstore+ TV Guard+EXTENSION","KSh 15,899"
"Wyinix WY40D19D,40"" Inch Smart Android  TV Playstore+FREE TVGuard+Aerial+32GB Flash","KSh 21,899"
"Gld 32"" Inch Smart TV,Android,Bluetooth,Frameless+FREE 32GB FLASH DISK","KSh 15,999"
"TCL 40S65A FHD ANDROID TV, NETFLIX, YOUTUBE , BLUETOOTH AI SMART","KSh 31,699"
"Prime HD 22 Inches,LED Digital TV,USB PORT,32GB FLASH DISK,HDMI","KSh 8,499"
"Wyinix WY40D19D,40"" Inch Smart Android  TV Playstore+FREE TVGuard+Extension+32GB Flash","KSh 21,999"
"Hisense 32"" INCH - Smart HD TV- Black + FREE GIFTS","KSh 23,796"
TCL 43'' S65A SMART FRAMELESS ANDROID + FREE WALL MOUNT,"KSh 34,999"
"Hisense 43"" FRAMELESS UHD 4K A6 SERIES","KSh 41,499"
"Syinix 32E4M 32"" Inch Frameless Digital LED TV DVBT","KSh 14,700"
"Hisense 43A61G - 43"" UHD 4K Frameless Smart TV- Black","KSh 43,995"
"Vision Plus VP8832SF,32""inch Frameless HD Smart Android TV BluetoothNetflixYoutube,Appstore","KSh 16,285"
"Royal LE3900L20-SA,39"" Inch Smart Android TV WIFI Netflix,Youtube,Appstore","KSh 21,999"
"Skyworth 43"" Inch Frameless ANDROID TV,WITH FREE GIFTS","KSh 33,499"
"Samsung 43'' FULL HD SMART TV, PURCOLOR, BUILT-IN WI-FI, NETFLIX UA43T5300UA","KSh 49,000"
,
,
,
,
,
,
,
,
"CTC 32A06S,32 Inch Smart Android TV WIFI Netflix,Youtube+TV Guard+Extension","KSh 15,699"
"Skyworth 32"" Inches FRAMELESS Smart Android TV Netflix Youtube","KSh 20,499"
"Vitron 43"" Inch SMART Android TV FULL HD-Netfix+Youtube + FREE Gifts","KSh 26,980"
Sony 55'' 4K ULTRA HD SMART Android HDR (Google TV 2022)- 55X80J,"KSh 87,497"
"TCL 32'' FRAMELESS FULL HD ANDROID TV, NETFLIX, YOUTUBE","KSh 20,999"
"Skyworth 43'' Android TV, Frameless, FHD NETFLEX & YOUTUBE","KSh 32,999"
"Vitron 50'' SMART Android TV UHD -Netfix,Youtube Tv","KSh 38,999"
"Vitron 24” Inch,LED Digital TV,AC/DC,USB,HDMI PORTS+INBUILT DECODER","KSh 11,499"
"Sonar 32"" Inch Smart Android TV Netflix YouTube Google Play","KSh 14,522"
"Gld 40HD39L20,40"" Inch Smart Android TV Bluetooth TV,AppStore+FREE AERIAL","KSh 20,999"
